timestamp,face_id,liveness_result,ocr_id,final_result
2026-06-05 16:07:29,W1114181014,PASS,14181014,GRANTED
2026-06-05 16:07:35,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:07:47,W1114181043,PASS,81043,DENIED_ID_MISMATCH
2026-06-05 16:08:01,W1114181043,PASS,181043,GRANTED
2026-06-05 16:22:03,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:07,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:11,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:18,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:22,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:26,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:30,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:36,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:51,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:22:55,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:23:57,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:24:01,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:33:23,W1114181043,PASS,4181043,GRANTED
2026-06-05 16:35:42,W1114181047,PASS,11141,DENIED_ID_MISMATCH
2026-06-05 16:35:48,UNKNOWN,-,-,DENIED_NO_MATCH
2026-06-05 16:36:06,W1114181047,PASS,002188,DENIED_ID_MISMATCH
2026-06-05 16:36:21,W1114181047,PASS,4181047,GRANTED
2026-06-05 16:36:35,EMP-004,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:37:25,W1114181012,PASS,0975023,DENIED_ID_MISMATCH
2026-06-05 16:37:39,W1114181012,PASS,097503,DENIED_ID_MISMATCH
2026-06-05 16:37:53,W1114181012,PASS,097503,DENIED_ID_MISMATCH
2026-06-05 16:38:07,EMP-005,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:38:21,EMP-005,LIVENESS_TIMEOUT,-,DENIED
2026-06-05 16:38:36,W1114181012,PASS,90202,DENIED_ID_MISMATCH
2026-06-05 16:38:50,EMP-005,LIVENESS_TIMEOUT,-,DENIED
